id,name,symbol,circulating_supply,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
2682,Holo,HOT,173342974126.73712,0.0014980357891970265,9849655.4860951,259673979.0477064,0.07657176,4.34210434,-11.22534465,259673979.0477064
4846,Kava,KAVA,354266458.0,0.7237323224335288,15157312.70705046,256394086.4086402,0.40637727,6.82129785,-15.0908626,256394086.4086402
5728,Balancer,BAL,46090837.93826008,5.529907482676844,5400031.57948338,254878069.59763017,0.23682041,5.35710198,-9.38084058,254878069.59763017
9903,Convex Finance,CVX,72227119.65136078,3.5223145567135914,3451660.78534078,254406634.93748236,0.32376539,4.86274173,-12.44869541,254406634.93748236
5567,Celo,CELO,478832129.0,0.5157944473878445,6988097.00974533,246978953.3691001,0.42021595,3.76365109,-7.37835661,246978953.3691001
5632,Arweave,AR,33394701.0,7.377917998762184,8773466.73494171,246383365.5711815,0.12413391,1.4034818,-16.69559993,246383365.5711815
5692,Compound,COMP,7267151.99852569,33.7102084711048,14883269.70826547,244977208.8615069,0.56855819,7.15104859,-13.68844943,244977208.8615069
2577,Ravencoin,RVN,12012589905.612906,0.0202695837427818,6386702.39174037,243490197.0595161,0.55443227,6.49819864,-7.99940232,243490197.0595161
2083,Bitcoin Gold,BTG,17513923.589,13.228877163323887,4113830.22545883,231689543.80672166,0.37758738,1.98980604,-12.0358724,231689543.80672166
13855,Ethereum Name Service,ENS,20244862.09054775,11.407660858507683,14235487.22855263,230946520.8562276,0.76151393,5.64075015,-14.7092853,230946520.8562276
11840,Optimism,OP,234748364.0,0.974968369997469,71456607.29676716,228872229.80865255,0.89687326,10.55672477,-13.87586107,228872229.80865255
1659,Gnosis,GNO,2589588.0,87.13223688906025,3327381.47309895,225636595.06106776,0.22986111,3.1181736,-6.33248953,225636595.06106776
3822,Theta Fuel,TFUEL,5954870518.0,0.03659971278850881,4055395.05136605,217946550.6515587,0.63237802,6.70548218,-14.70968195,217946550.6515587
5665,Helium,HNT,134825753.65272808,1.6002370619033612,1362007.18611641,215753167.89414796,0.2722686,-1.91885952,-18.7550501,215753167.89414796
6758,SushiSwap,SUSHI,222257372.0,0.9682251851132522,42567544.71889447,215195185.14748496,1.08333571,4.69498912,-16.6240016,215195185.14748496
2499,SwissBorg,CHSB,1000000000.0,0.2149846299522216,253888.03651062,214984629.9522216,0.05090672,1.46125161,-9.33753486,214984629.9522216
1684,Qtum,QTUM,104460531.5,2.023007847313974,25158787.29860435,211324474.95908856,0.67005982,6.08836841,-12.15900996,211324474.95908856
